Organism	Strain	GenBank	GenBank	BioSample	BioProject	collection date	geographic location	host	isolation source
Corynebacterium striatum	ICDC.Cs381	GCA_015890305.1	GCA_015890305.1	SAMN12388724	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs380	GCA_015890325.1	GCA_015890325.1	SAMN12388723	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs386	GCA_015890345.1	GCA_015890345.1	SAMN12388726	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs058	GCA_015890365.1	GCA_015890365.1	SAMN12388634	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs054	GCA_015890375.1	GCA_015890375.1	SAMN12388633	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs053	GCA_015890405.1	GCA_015890405.1	SAMN12388632	SAMN12388632	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs050	GCA_015890425.1	GCA_015890425.1	SAMN12388631	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs045	GCA_015890445.1	GCA_015890445.1	SAMN12388630	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs039	GCA_015890465.1	GCA_015890465.1	SAMN12388628	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs042	GCA_015890485.1	GCA_015890485.1	SAMN12388629	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs247	GCA_015890505.1	GCA_015890505.1	SAMN12388675	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs038	GCA_015890525.1	GCA_015890525.1	SAMN12388627	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs363	GCA_015890545.1	GCA_015890545.1	SAMN12388710	PRJNA514245	2017	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs457	GCA_015890565.1	GCA_015890565.1	SAMN12388760	PRJNA514245	2018	"	China: Tangshan"	patient	sputum
Corynebacterium striatum	ICDC.Cs454	GCA_015890585.1	GCA_015890585.1	SAMN12388759	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs360	GCA_015890605.1	GCA_015890605.1	SAMN12388707	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs482	GCA_015890625.1	GCA_015890625.1	SAMN12388765	PRJNA514245	2018	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs516	GCA_015890645.1	GCA_015890645.1	SAMN12388766	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs283	GCA_015890655.1	GCA_015890655.1	SAMN12388685	PRJNA514245	2017	"	China: Guangzhou"	patient	sputum
Corynebacterium striatum	ICDC.Cs355	GCA_015890685.1	GCA_015890685.1	SAMN12388703	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs234	GCA_015890705.1	GCA_015890705.1	SAMN12388674	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs024	GCA_015890725.1	GCA_015890725.1	SAMN12388622	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs286	GCA_015890745.1	GCA_015890745.1	SAMN12388688	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs288	GCA_015890765.1	GCA_015890765.1	SAMN12388690	PRJNA514245	2017	"	China: Guangzhou"	patient	sputum
Corynebacterium striatum	ICDC.Cs348	GCA_015890785.1	GCA_015890785.1	SAMN12388698	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs290	GCA_015890805.1	GCA_015890805.1	SAMN12388692	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs285	GCA_015890825.1	GCA_015890825.1	SAMN12388687	PRJNA514245	2017	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs370	GCA_015890845.1	GCA_015890845.1	SAMN12388715	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs032	GCA_015890865.1	GCA_015890865.1	SAMN12388626	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs262	GCA_015890885.1	GCA_015890885.1	SAMN12388679	PRJNA514245	2017	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs020	GCA_015890905.1	GCA_015890905.1	SAMN12388621	PRJNA514245	2016	China: Beijing	patient	sputum
Corynebacterium striatum	ICDC.Cs518	GCA_015890925.1	GCA_015890925.1	SAMN12388767	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs521	GCA_015890945.1	GCA_015890945.1	SAMN12388768	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs529	GCA_015890965.1	GCA_015890965.1	SAMN12388774	PRJNA514245	2018	China: Guangzhou	patient	blood
Corynebacterium striatum	ICDC.Cs352	GCA_015890985.1	GCA_015890985.1	SAMN12388701	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs528	GCA_015891005.1	GCA_015891005.1	SAMN12388773	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs522	GCA_015891025.1	GCA_015891025.1	SAMN12388769	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs527	GCA_015891045.1	GCA_015891045.1	SAMN12388772	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs350	GCA_015891065.1	GCA_015891065.1	SAMN12388699	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs351	GCA_015891085.1	GCA_015891085.1	SAMN12388700	PRJNA514245	2017	China: Tangshan	patient	sputum
Corynebacterium striatum	ICDC.Cs525	GCA_015891105.1	GCA_015891105.1	SAMN12388771	PRJNA514245	2018	China: Guangzhou	patient	sputum
Corynebacterium striatum	ICDC.Cs532	GCA_015891125.1	GCA_015891125.1	SAMN12388776	PRJNA514245	2018	"	China: Guangzhou"	patient	sputum
